rank,title,year,length,rating,votes
117,Indiana Jones and the Last Crusade,1989,2h 7m,8.2,810K
118,Die Hard,1988,2h 12m,8.2,943K
119,Metropolis,1927,2h 33m,8.3,185K
120,Like Stars on Earth,2007,2h 42m,8.3,206K
121,Hamilton,2020,2h 40m,8.3,113K
122,Snatch,2000,1h 42m,8.2,909K
123,L.A. Confidential,1997,2h 18m,8.2,617K
124,1917,2019,1h 59m,8.2,673K
125,Bicycle Thieves,1948,1h 29m,8.3,175K
126,Taxi Driver,1976,1h 54m,8.2,918K
127,Downfall,2004,2h 36m,8.2,375K
128,Dangal,2016,2h 41m,8.3,210K
129,For a Few Dollars More,1965,2h 12m,8.2,274K
130,Batman Begins,2005,2h 20m,8.2,1.6M
131,The Wolf of Wall Street,2013,3h,8.2,1.6M
132,Some Like It Hot,1959,2h 1m,8.2,283K
133,Green Book,2018,2h 10m,8.2,568K
134,The Kid,1921,1h 8m,8.2,135K
135,The Father,2020,1h 37m,8.2,192K
136,Judgment at Nuremberg,1961,2h 59m,8.3,85K
137,All About Eve,1950,2h 18m,8.2,139K
138,The Truman Show,1998,1h 43m,8.2,1.2M
139,Top Gun: Maverick,2022,2h 10m,8.2,692K
140,Shutter Island,2010,2h 18m,8.2,1.5M
141,There Will Be Blood,2007,2h 38m,8.2,640K
142,Casino,1995,2h 58m,8.2,563K
143,Ran,1985,2h 40m,8.2,136K
144,Jurassic Park,1993,2h 7m,8.2,1.1M
145,The Sixth Sense,1999,1h 47m,8.2,1M
146,Pan's Labyrinth,2006,1h 58m,8.2,702K
147,Unforgiven,1992,2h 10m,8.2,435K
148,No Country for Old Men,2007,2h 2m,8.2,1.1M
149,A Beautiful Mind,2001,2h 15m,8.2,985K
150,The Thing,1982,1h 49m,8.2,465K
151,The Treasure of the Sierra Madre,1948,2h 6m,8.2,132K
152,Kill Bill: Vol. 1,2003,1h 51m,8.2,1.2M
153,Yojimbo,1961,1h 50m,8.2,131K
154,Monty Python and the Holy Grail,1975,1h 31m,8.2,569K
155,The Great Escape,1963,2h 52m,8.2,258K
